%C3%85land_Islands  Blomqvist  Anni
Afghanistan  Mehryar  Rahim
Afghanistan  Jahani  Rahim
Afghanistan  Jahani  Rahim Jahani  (رحيم جهانی)
Afghanistan  Ayar  Maria
Afghanistan  Ayar  Maria Ayar  (ماريا اعیار)
Afghanistan  Zaland  Sohaila Zaland  (سهیلا زلاند)
Afghanistan  Zaland  Sohaila
Afghanistan  Zaland  Shahla Zaland (شهلا زلاند)
Afghanistan  Zaland  Shahla
Afghanistan  Zaland  Jalil
Afghanistan  Wafa  Mariam
Afghanistan  Wafa  Mariam  (مريم وفا)
Afghanistan  Zaland  Wahid
Afghanistan  Zaland  Wahid Zaland (وحید زلاند)
Afghanistan  Eshaq  Mamoon Eshaq (مأمون إسحاق)
Afghanistan  Eshaq  Mamoon
Afghanistan  Jahani  Salma
Afghanistan  Jahani  Soraya Amerie  (سلما جهانی)
Afghanistan  Howaida  Zahir
Afghanistan  Howaida  Zahir Howaida  (ظاهرهویدا)
Afghanistan  Qaderi  Faiz
Afghanistan  Ramez  Fawad Ramez  (فواد رامز)
Afghanistan  Ramez  Fawad
Afghanistan  Ghaziyar  Jawad
Afghanistan  Hamahang  Ustad
Afghanistan  Hamahang  Ustad Hamahang  (استاد هم آهنگ)
Afghanistan  Sharif  Jawid
Afghanistan  Araa  Zalmai
Afghanistan  Ghafoor  Farhad
Afghanistan  Ghafoor  Farhad Ghafoor (فرهاد غفور)
Afghanistan  Lala  Karim
Afghanistan  Faani  Raziq
Afghanistan  Karimi  Obaidullah
Afghanistan  Popal  Naim
Afghanistan  Khan  Aryan
Afghanistan  Habibzai  Hanan
Afghanistan  Pinhasi  Rafael
Afghanistan  Khan  Jan-Fishan
Afghanistan  Sarwari  Zohra
Afghanistan  Wesa  Tooryalai
Afghanistan  Razaqi  Wali
Afghanistan  Ahmadzai  Raees
Afghanistan  Habibi  Abdul Hay
Afghanistan  Sharityar  Djelaludin
Afghanistan  Faqiryar  Mansur
Afghanistan  Khyber  Mir Akbar
Afghanistan  Sadat  Zallascht Sadat
Afghanistan  Sadat  Zallascht
Afghanistan  Wardak  Ghulam Farooq
Afghanistan  Ludin  Atiqullah
Afghanistan  Mashal  Lutfullah
Afghanistan  Nazari  Abdul Wahid
Afghanistan  Amin  Roohul
Afghanistan  Babajan  Abdul Wahid
Afghanistan  Safi  Mohammed Asif
Afghanistan  Ezat  Mullah
Afghanistan  Salangi  Abdul Baseer
Afghanistan  Omar  Mohammad
Afghanistan  Baradar  Abdul Ghani
Afghanistan  Sharityar  Djelaludin
Albania  Moisiu  Alfred
Albania  Moisiu  Alfred
Albania  Kadare  Ismail
Albania  Kadare  Ismail
Albania  Alia  Ramiz
Albania  Alia  Ramiz
Albania  Meidani  Rexhep
Albania  Meidani  Rexhep
Albania  Shehu  Mehmet
Albania  Shehu  Mehmet
Albania  Frasheri  Naim
Albania  Frasheri  Naim
Albania  Mjeda  Ndre
Albania  Mjeda  Ndre
Albania  Gurakuqi  Luigj
Albania  Gurakuqi  Luigj
Albania  Majko  Pandeli
Albania  Majko  Pandeli
Albania  Lusha  Masiela
Albania  Lusha  Masiela
Albania  Carcani  Adil
Albania  Carcani  Adil
Albania  Idromeno  Kole
Albania  Idromeno  Kole
Albania  Nikolla  Millosh Gjergj
Albania  Nikolla  Millosh Gjergj
Albania  Malota  Pjetër
Albania  Malota  Pjetër
Albania  Meta  Ilir
Albania  Meta  Ilir
Albania  Logoreci  Marie
Albania  Logoreci  Marie
Albania  Jakova  Prenkë
Albania  Jakova  Prenkë
Albania  Pano  Panajot
Albania  Pano  Panajot
Albania  Fishta  Gjergj
Albania  Fishta  Gjergj
Albania  Roshi  Kadri
Albania  Roshi  Kadri
Albania  Bogdani  Erjon
Albania  Bogdani  Erjon
Albania  Hitaj  Eralda
Albania  Hitaj  Eralda
Albania  Agolli  Ansi
Albania  Agolli  Ansi
Albania  Bylykbashi  Dorian
Albania  Bylykbashi  Dorian
Albania  Borici  Loro
Albania  Borici  Loro
Albania  Duro  Klodian
Albania  Duro  Klodian
Albania  Çajupi  Andon Zako
Albania  Çajupi  Andon Zako
Albania  Dede  Nevil Thanas
Albania  Dede  Nevil Thanas
Albania  Ndoci  Frederik
Albania  Ndoci  Frederik
Albania  Ndoci  Frederik Ndoci
Albania  Ndoci  Frederik Ndoci
Albania  Salihi  Hamdi
Albania  Salihi  Hamdi
Albania  Zadrima  Aldo
Albania  Zadrima  Aldo
Albania  Vata  Rudi
Albania  Vata  Rudi
Albania  Rrudho  Xhulian
Albania  Rrudho  Xhulian
Albania  Koculi  Qazim
Albania  Koculi  Qazim
Albania  Demollari  Sulejman
Albania  Demollari  Sulejman
Albania  Bulku  Ervin
Albania  Bulku  Ervin
Albania  Fagu  Erbim
Albania  Fagu  Erbim
Albania  Deliallisi  Erald
Albania  Deliallisi  Erald
Albania  Merkoci  Eldoraldo
Albania  Merkoci  Eldoraldo
Albania  Fortuzi  Indrit Shaban
Albania  Fortuzi  Indrit Shaban
Albania  Kasollja  Merdian
Albania  Kasollja  Merdian
Albania  Arapi  Florenc
Albania  Arapi  Florenc
Albania  Tafaj  Gledis
Albania  Tafaj  Gledis
Albania  Ceno  Elton
Albania  Ceno  Elton
Albania  Beqiri  Ardit
Albania  Beqiri  Ardit
Albania  Babamusta  Dritan
Albania  Babamusta  Dritan
Albania  Gjyla  Viktor
Albania  Gjyla  Viktor
Albania  Allmuca  Igli
Albania  Allmuca  Igli
Albania  Dhembi  Paulin
Albania  Dhembi  Paulin
Albania  Ferraj  Nertil
Albania  Ferraj  Nertil
Albania  Grimaj  Armir
Albania  Grimaj  Armir
Albania  Dabulla  Rezart
Albania  Dabulla  Rezart
Albania  Beqiri  Arsen
Albania  Beqiri  Arsen
Albania  Cani  Nevian
Albania  Cani  Nevian
Albania  Dalipi  Klevis
Albania  Dalipi  Klevis
Albania  Sukaj  Xhevahir
Albania  Sukaj  Xhevahir
Albania  Doci  Edmond
Albania  Doci  Edmond
Albania  Bishani  Olsi
Albania  Bishani  Olsi
Albania  Kraja  Ervis
Albania  Kraja  Ervis
Albania  Karabeci  Erando
Albania  Karabeci  Erando
Albania  Veliu  Franc
Albania  Veliu  Franc
Albania  Guga  Bledion
Albania  Guga  Bledion
Albania  Begaj  Halim
Albania  Begaj  Halim
Albania  Guna  Aldo
Albania  Guna  Aldo
Albania  Rrustemi  Avni
Albania  Rrustemi  Avni
Albania  Semina  Klodian
Albania  Semina  Klodian
Albania  Çani  Edgar
Albania  Çani  Edgar
Albania  Martini  Edi
Albania  Martini  Edi
Albania  Kryziu  Tati Esad Murad
Albania  Kryziu  Tati Esad Murad
Albania  Maleshova  Sejfulla
Albania  Maleshova  Sejfulla
Albania  Mecini  Matilda
Albania  Mecini  Matilda
Albania  Doda  Armando
Albania  Doda  Armando
Albania  Duro  Albert
Albania  Duro  Albert
Albania  Alla  Sadina
Albania  Alla  Sadina
Albania  Selimllari  Valbona
Albania  Selimllari  Valbona
Albania  Kola  Sidorela
Albania  Kola  Sidorela
Albania  Zguro  Monika
Albania  Zguro  Monika
Albania  Reka  Ilda
Albania  Reka  Ilda
Albania  Sako  Hygerta
Albania  Sako  Hygerta
Albania  Mustafa  Venera
Albania  Mustafa  Venera
Albania  Ramadani  Gentiana
Albania  Ramadani  Gentiana
Albania  Kospiri  Anisa
Albania  Kospiri  Anisa
Albania  Kola  Denisa
Albania  Kola  Denisa
Albania  Grizha  Robert
Albania  Grizha  Robert
Albania  Shaska  Tanush
Albania  Shaska  Tanush
Albania  Ndoja  Gasper
Albania  Ndoja  Gasper
Albania  Fakaj  Ervin Pëllumb
Albania  Fakaj  Ervin Pëllumb
Albania  Abazi  Edmond
Albania  Abazi  Edmond
Albania  Franholli  Bajram
Albania  Franholli  Bajram
Albania  Mertiri  Illirjan
Albania  Mertiri  Illirjan
Albania  Dura  Bledar
Albania  Dura  Bledar
Albania  Caushaj  Ilirjan
Albania  Caushaj  Ilirjan
Albania  Zografos  Christakis
Albania  Zografos  Christakis
Albania  Dobi  Enkeleid
Albania  Dobi  Enkeleid
Albania  Curri  Skerdilaid
Albania  Curri  Skerdilaid
Albania  Trogaj  Bazjon
Albania  Trogaj  Bazjon
Albania  Licaj  E.
Albania  Licaj  E.
Albania  Milaqi  Toni
Albania  Milaqi  Toni
Albania  Nuri  Fahredin
Albania  Nuri  Fahredin
Albania  Dervishi  Qazim
Albania  Dervishi  Qazim
Albania  Ngjela  Marius
Albania  Ngjela  Marius
Albania  Bakalli  Egert
Albania  Bakalli  Egert
Albania  Papa  Katina
Albania  Papa  Katina
Albania  Millo  Lefter
Albania  Millo  Lefter
Albania  Qorri  Ilir
Albania  Qorri  Ilir
Albania  Dine  Erjon
Albania  Dine  Erjon
Albania  Elmazi  Erald
Albania  Elmazi  Erald
Albania  Shoshi  Maringlen
Albania  Shoshi  Maringlen
Albania  Gega  Armand
Albania  Gega  Armand
Albania  Çerçizi  Taulant
Albania  Çerçizi  Taulant
Albania  Guri  Aulent
Albania  Guri  Aulent
Albania  Dhrami  Arbër
Albania  Dhrami  Arbër
Albania  Abilaliaj  Arber
Albania  Abilaliaj  Arber
Albania  Ferra  Hendrit
Albania  Ferra  Hendrit
Albania  Daja  Asion
Albania  Daja  Asion
Albania  Dosti  Edmond
Albania  Dosti  Edmond
Albania  Muca  Gentjan
Albania  Muca  Gentjan
Albania  Gurma  Mario
Albania  Gurma  Mario
Albania  Galica  Elham
Albania  Galica  Elham
Albania  Gallo  Alpin
Albania  Gallo  Alpin
Albania  Llambi  Sllave
Albania  Llambi  Sllave
Albania  Daja  Fatos
Albania  Daja  Fatos
Albania  Driza  Johan
Albania  Driza  Johan
Albania  Canaj  Agim
Albania  Canaj  Agim
Albania  Frasheri  Stivi
Albania  Frasheri  Stivi
Albania  Lici  Suad
Albania  Lici  Suad
Albania  Filipi  Brian
Albania  Filipi  Brian
Albania  Gerxho  Julian
Albania  Gerxho  Julian
Albania  Sejdo  Xhino
Albania  Sejdo  Xhino
Albania  Muca  Shkelqim
Albania  Muca  Shkelqim
Albania  Kokona  Vedat
Albania  Kokona  Vedat
Albania  Cipi  Jorgo
Albania  Cipi  Jorgo
Albania  Sykaj  Arsen
Albania  Sykaj  Arsen
Albania  Shtubina  Ndricim
Albania  Shtubina  Ndricim
Albania  Dibra  Arenç
Albania  Dibra  Arenç
Albania  Miloti  Auron
Albania  Miloti  Auron
Albania  Xhuti  Gersi
Albania  Xhuti  Gersi
Albania  Dema  Gjergji
Albania  Dema  Gjergji
Albania  Meksi  Vangjel
Albania  Meksi  Vangjel
Albania  Dibra  Ilir
Albania  Dibra  Ilir
Albania  Gjeloshi  Julian
Albania  Gjeloshi  Julian
Albania  Gjylbegu  Rosela Gjylbegu
Albania  Gjylbegu  Rosela Gjylbegu
Albania  Gjylbegu  Rosela
Albania  Gjylbegu  Rosela
Albania  Laci  Vasil
Albania  Laci  Vasil
Albania  Pasha  Juliana
Albania  Pasha  Juliana
Albania  Orgocka  Dhimiter
Albania  Orgocka  Dhimiter
Albania  Prosi  Sander
Albania  Prosi  Sander
Albania  Mertiri  Eradi
Albania  Mertiri  Eradi
Albania  Paskali  Odhise
Albania  Paskali  Odhise
Albania  Dashi  Alban
Albania  Dashi  Alban
Albania  Kurilla  Evllogji
Albania  Kurilla  Evllogji
Albania  Teliti  Qamil
Albania  Teliti  Qamil
Albania  Cikalleshi  Sokol
Albania  Cikalleshi  Sokol
Albania  Kaceli  Sadik
Albania  Kaceli  Sadik
Albania  Poradeci  Lasgush
Albania  Poradeci  Lasgush
Albania  Naipi  Bule
Albania  Naipi  Bule
Albania  Tukiqi  Ibrahim
Albania  Tukiqi  Ibrahim
Albania  Dergjini  Xhiljando
Albania  Dergjini  Xhiljando
Albania  Luarasi  Petro Nini
Albania  Luarasi  Petro Nini
Albania  Aranitasi  Xhemal
Albania  Aranitasi  Xhemal
Albania  Birja  Kadri
Albania  Birja  Kadri
Albania  Gjoka  Samet
Albania  Gjoka  Samet
Albania  Celiku  Albi
Albania  Celiku  Albi
Albania  Dedej  Eglajd
Albania  Dedej  Eglajd
Albania  Marko  Petro
Albania  Marko  Petro
Albania  Dibra  Petrit
Albania  Dibra  Petrit
Albania  Gjokeja  Sajmir
Albania  Gjokeja  Sajmir
Albania  Hamzaj  Romeo
Albania  Hamzaj  Romeo
Albania  Grami  Elton
Albania  Grami  Elton
Albania  Memushaj  Ledian
Albania  Memushaj  Ledian
Albania  Xhepa  Margarita
Albania  Xhepa  Margarita
Albania  Martini  Angela
Albania  Martini  Angela
Albania  Gjebrea  Ardit
Albania  Gjebrea  Ardit
Albania  Moisiu  Alfred
Albania  Moisiu  Alfred
Albania  Kadare  Ismail
Albania  Kadare  Ismail
Albania  Alia  Ramiz
Albania  Alia  Ramiz
Albania  Meidani  Rexhep
Albania  Meidani  Rexhep
Albania  Shehu  Mehmet
Albania  Shehu  Mehmet
Albania  Frasheri  Naim
Albania  Frasheri  Naim
Albania  Mjeda  Ndre
Albania  Mjeda  Ndre
Albania  Gurakuqi  Luigj
Albania  Gurakuqi  Luigj
Albania  Majko  Pandeli
Albania  Majko  Pandeli
Albania  Lusha  Masiela
Albania  Lusha  Masiela
Albania  Carcani  Adil
Albania  Carcani  Adil
Albania  Idromeno  Kole
Albania  Idromeno  Kole
Albania  Nikolla  Millosh Gjergj
Albania  Nikolla  Millosh Gjergj
Albania  Malota  Pjetër
Albania  Malota  Pjetër
Albania  Meta  Ilir
Albania  Meta  Ilir
Albania  Logoreci  Marie
Albania  Logoreci  Marie
Albania  Jakova  Prenkë
Albania  Jakova  Prenkë
Albania  Pano  Panajot
Albania  Pano  Panajot
Albania  Fishta  Gjergj
Albania  Fishta  Gjergj
Albania  Roshi  Kadri
Albania  Roshi  Kadri
Albania  Bogdani  Erjon
Albania  Bogdani  Erjon
Albania  Hitaj  Eralda
Albania  Hitaj  Eralda
Albania  Agolli  Ansi
Albania  Agolli  Ansi
Albania  Bylykbashi  Dorian
Albania  Bylykbashi  Dorian
Albania  Borici  Loro
Albania  Borici  Loro
Albania  Duro  Klodian
Albania  Duro  Klodian
Albania  Çajupi  Andon Zako
Albania  Çajupi  Andon Zako
Albania  Dede  Nevil Thanas
Albania  Dede  Nevil Thanas
Albania  Ndoci  Frederik
Albania  Ndoci  Frederik
Albania  Ndoci  Frederik Ndoci
Albania  Ndoci  Frederik Ndoci
Albania  Salihi  Hamdi
Albania  Salihi  Hamdi
Albania  Zadrima  Aldo
Albania  Zadrima  Aldo
Albania  Vata  Rudi
Albania  Vata  Rudi
Albania  Rrudho  Xhulian
Albania  Rrudho  Xhulian
Albania  Koculi  Qazim
Albania  Koculi  Qazim
Albania  Demollari  Sulejman
Albania  Demollari  Sulejman
Albania  Bulku  Ervin
Albania  Bulku  Ervin
Albania  Fagu  Erbim
Albania  Fagu  Erbim
Albania  Deliallisi  Erald
Albania  Deliallisi  Erald
Albania  Merkoci  Eldoraldo
Albania  Merkoci  Eldoraldo
Albania  Fortuzi  Indrit Shaban
Albania  Fortuzi  Indrit Shaban
Albania  Kasollja  Merdian
Albania  Kasollja  Merdian
Albania  Arapi  Florenc
Albania  Arapi  Florenc
Albania  Tafaj  Gledis
Albania  Tafaj  Gledis
Albania  Ceno  Elton
Albania  Ceno  Elton
Albania  Beqiri  Ardit
Albania  Beqiri  Ardit
Albania  Babamusta  Dritan
Albania  Babamusta  Dritan
Albania  Gjyla  Viktor
Albania  Gjyla  Viktor
Albania  Allmuca  Igli
Albania  Allmuca  Igli
Albania  Dhembi  Paulin
Albania  Dhembi  Paulin
Albania  Ferraj  Nertil
Albania  Ferraj  Nertil
Albania  Grimaj  Armir
Albania  Grimaj  Armir
Albania  Dabulla  Rezart
Albania  Dabulla  Rezart
Albania  Beqiri  Arsen
Albania  Beqiri  Arsen
Albania  Cani  Nevian
Albania  Cani  Nevian
Albania  Dalipi  Klevis
Albania  Dalipi  Klevis
Albania  Sukaj  Xhevahir
Albania  Sukaj  Xhevahir
Albania  Doci  Edmond
Albania  Doci  Edmond
Albania  Bishani  Olsi
Albania  Bishani  Olsi
Albania  Kraja  Ervis
Albania  Kraja  Ervis
Albania  Karabeci  Erando
Albania  Karabeci  Erando
Albania  Veliu  Franc
Albania  Veliu  Franc
Albania  Guga  Bledion
Albania  Guga  Bledion
Albania  Begaj  Halim
Albania  Begaj  Halim
Albania  Guna  Aldo
Albania  Guna  Aldo
Albania  Rrustemi  Avni
Albania  Rrustemi  Avni
Albania  Semina  Klodian
Albania  Semina  Klodian
Albania  Çani  Edgar
Albania  Çani  Edgar
Albania  Martini  Edi
Albania  Martini  Edi
Albania  Kryziu  Tati Esad Murad
Albania  Kryziu  Tati Esad Murad
Albania  Maleshova  Sejfulla
Albania  Maleshova  Sejfulla
Albania  Mecini  Matilda
Albania  Mecini  Matilda
Albania  Doda  Armando
Albania  Doda  Armando
Albania  Duro  Albert
Albania  Duro  Albert
Albania  Alla  Sadina
Albania  Alla  Sadina
Albania  Selimllari  Valbona
Albania  Selimllari  Valbona
Albania  Kola  Sidorela
Albania  Kola  Sidorela
Albania  Zguro  Monika
Albania  Zguro  Monika
Albania  Reka  Ilda
Albania  Reka  Ilda
Albania  Sako  Hygerta
Albania  Sako  Hygerta
Albania  Mustafa  Venera
Albania  Mustafa  Venera
Albania  Ramadani  Gentiana
Albania  Ramadani  Gentiana
Albania  Kospiri  Anisa
Albania  Kospiri  Anisa
Albania  Kola  Denisa
Albania  Kola  Denisa
Albania  Grizha  Robert
Albania  Grizha  Robert
Albania  Shaska  Tanush
Albania  Shaska  Tanush
Albania  Ndoja  Gasper
Albania  Ndoja  Gasper
Albania  Fakaj  Ervin Pëllumb
Albania  Fakaj  Ervin Pëllumb
Albania  Abazi  Edmond
Albania  Abazi  Edmond
Albania  Franholli  Bajram
Albania  Franholli  Bajram
Albania  Mertiri  Illirjan
Albania  Mertiri  Illirjan
Albania  Dura  Bledar
Albania  Dura  Bledar
Albania  Caushaj  Ilirjan
Albania  Caushaj  Ilirjan
Albania  Zografos  Christakis
Albania  Zografos  Christakis
Albania  Dobi  Enkeleid
Albania  Dobi  Enkeleid
Albania  Curri  Skerdilaid
Albania  Curri  Skerdilaid
Albania  Trogaj  Bazjon
Albania  Trogaj  Bazjon
Albania  Licaj  E.
Albania  Licaj  E.
Albania  Milaqi  Toni
Albania  Milaqi  Toni
Albania  Nuri  Fahredin
Albania  Nuri  Fahredin
Albania  Dervishi  Qazim
Albania  Dervishi  Qazim
Albania  Ngjela  Marius
Albania  Ngjela  Marius
Albania  Bakalli  Egert
Albania  Bakalli  Egert
Albania  Papa  Katina
Albania  Papa  Katina
Albania  Millo  Lefter
Albania  Millo  Lefter
Albania  Qorri  Ilir
Albania  Qorri  Ilir
Albania  Dine  Erjon
Albania  Dine  Erjon
Albania  Elmazi  Erald
Albania  Elmazi  Erald
Albania  Shoshi  Maringlen
Albania  Shoshi  Maringlen
Albania  Gega  Armand
Albania  Gega  Armand
Albania  Çerçizi  Taulant
Albania  Çerçizi  Taulant
Albania  Guri  Aulent
Albania  Guri  Aulent
Albania  Dhrami  Arbër
Albania  Dhrami  Arbër
Albania  Abilaliaj  Arber
Albania  Abilaliaj  Arber
Albania  Ferra  Hendrit
Albania  Ferra  Hendrit
Albania  Daja  Asion
Albania  Daja  Asion
Albania  Dosti  Edmond
Albania  Dosti  Edmond
Albania  Muca  Gentjan
Albania  Muca  Gentjan
Albania  Gurma  Mario
Albania  Gurma  Mario
Albania  Galica  Elham
Albania  Galica  Elham
Albania  Gallo  Alpin
Albania  Gallo  Alpin
Albania  Llambi  Sllave
Albania  Llambi  Sllave
Albania  Daja  Fatos
Albania  Daja  Fatos
Albania  Driza  Johan
Albania  Driza  Johan
Albania  Canaj  Agim
Albania  Canaj  Agim
Albania  Frasheri  Stivi
Albania  Frasheri  Stivi
Albania  Lici  Suad
Albania  Lici  Suad
Albania  Filipi  Brian
Albania  Filipi  Brian
Albania  Gerxho  Julian
Albania  Gerxho  Julian
Albania  Sejdo  Xhino
Albania  Sejdo  Xhino
Albania  Muca  Shkelqim
Albania  Muca  Shkelqim
Albania  Kokona  Vedat
Albania  Kokona  Vedat
Albania  Cipi  Jorgo
Albania  Cipi  Jorgo
Albania  Sykaj  Arsen
Albania  Sykaj  Arsen
Albania  Shtubina  Ndricim
Albania  Shtubina  Ndricim
Albania  Dibra  Arenç
Albania  Dibra  Arenç
Albania  Miloti  Auron
Albania  Miloti  Auron
Albania  Xhuti  Gersi
Albania  Xhuti  Gersi
Albania  Dema  Gjergji
Albania  Dema  Gjergji
Albania  Meksi  Vangjel
Albania  Meksi  Vangjel
Albania  Dibra  Ilir
Albania  Dibra  Ilir
Albania  Gjeloshi  Julian
Albania  Gjeloshi  Julian
Albania  Gjylbegu  Rosela Gjylbegu
Albania  Gjylbegu  Rosela Gjylbegu
Albania  Gjylbegu  Rosela
Albania  Gjylbegu  Rosela
Albania  Laci  Vasil
Albania  Laci  Vasil
Albania  Pasha  Juliana
Albania  Pasha  Juliana
Albania  Orgocka  Dhimiter
Albania  Orgocka  Dhimiter
Albania  Prosi  Sander
Albania  Prosi  Sander
Albania  Mertiri  Eradi
Albania  Mertiri  Eradi
Albania  Paskali  Odhise
Albania  Paskali  Odhise
Albania  Dashi  Alban
Albania  Dashi  Alban
Albania  Kurilla  Evllogji
Albania  Kurilla  Evllogji
Albania  Teliti  Qamil
Albania  Teliti  Qamil
Albania  Cikalleshi  Sokol
Albania  Cikalleshi  Sokol
Albania  Kaceli  Sadik
Albania  Kaceli  Sadik
Albania  Poradeci  Lasgush
Albania  Poradeci  Lasgush
Albania  Naipi  Bule
Albania  Naipi  Bule
Albania  Tukiqi  Ibrahim
Albania  Tukiqi  Ibrahim
Albania  Dergjini  Xhiljando
Albania  Dergjini  Xhiljando
Albania  Luarasi  Petro Nini
Albania  Luarasi  Petro Nini
Albania  Aranitasi  Xhemal
Albania  Aranitasi  Xhemal
Albania  Birja  Kadri
Albania  Birja  Kadri
Albania  Gjoka  Samet
Albania  Gjoka  Samet
Albania  Celiku  Albi
Albania  Celiku  Albi
Albania  Dedej  Eglajd
Albania  Dedej  Eglajd
Albania  Marko  Petro
Albania  Marko  Petro
Albania  Dibra  Petrit
Albania  Dibra  Petrit
Albania  Gjokeja  Sajmir
Albania  Gjokeja  Sajmir
Albania  Hamzaj  Romeo
Albania  Hamzaj  Romeo
Albania  Grami  Elton
Albania  Grami  Elton
Albania  Memushaj  Ledian
Albania  Memushaj  Ledian
Albania  Xhepa  Margarita
Albania  Xhepa  Margarita
Albania  Martini  Angela
Albania  Martini  Angela
Albania  Gjebrea  Ardit
Albania  Gjebrea  Ardit
Alderney  Hobbs  William G.
Algeria  Camus  Albert
Algeria  Augustine of Hippo  Saint
Algeria  Derrida  Jacques
Algeria  Althusser  Louis
Algeria  Boudiaf  Mohamed
Algeria  Ben Bella  Ahmed
Algeria  Boumediene  Houari
Algeria  Kafi  Ali
Algeria  Jobert  Marlène
Algeria  Hanoune  Louisa
Algeria  Belkhadem  Abdelaziz
Algeria  Ferrari  Matteo
Algeria  Mezair  Hicham
Algeria  Aribi  Salim
Algeria  Achiou  Hocine
Algeria  Djaballah  Abdallah
Algeria  Ibrahimi  Ahmed Taleb
Algeria  Ferrer  Ysa Ferrer
Algeria  Ferrer  Ysa
Algeria  Raissi  Lotfi
Algeria  Gatlif  Tony
Algeria  Massi  Souad
Algeria  Jouhard  Edmond
Algeria  Yacef  Saadi
Algeria  Boucetta  Fethi
Algeria  Brialy  Jean-Claude
Algeria  Abdelli  Abderrahmane
Algeria  Daham  Noureddine
Algeria  Hadj Aissa  Lazhar
Algeria  Hamdoud  Mohamed
Algeria  Bensaid  Adlene
Algeria  Hanister  Sofiane
Algeria  Bezzaz  Yacine
Algeria  Mouyal  Armand
Algeria  Mimouni  Rachid
Algeria  Senac  Jean
Algeria  Benayoun  Maurice
Algeria  Lenoir  Bernard
Algeria  Alcazar  Joseph
Algeria  Liberati  Ernest
Algeria  Jasseron  Lucien
Algeria  Hugon  André
Algeria  Allouache  Merzak
Algeria  Belkaid  Farouk
Algeria  Djaadaoui  Abdel
Algeria  Djediat  Lamouri
Algeria  Slatni  Yacine
Algeria  Saadane  Rabah
Algeria  Hamidi  Cheikh
Algeria  Arnoul  François
Algeria  Abdeslam  Cherif
Algeria  Amaouche  Yacine
Algeria  Mezouar  Brahim Arafat
Algeria  Ouahabi  Yahia
Algeria  Rouane  Benhalima
Algeria  Rial  Ali
Algeria  Habri  Kamel
Algeria  Hosni  Larbi
Algeria  Dominguez  Patrice
Algeria  Ouichaoui  Moncef
Algeria  Hadjaoui  Samir
Algeria  Maiza  Adel
Algeria  Kechout  Yacine
Algeria  Feham  Bouazza
Algeria  Boudjakdji  Anwar Mohamed
Algeria  Younes  Sofiane
Algeria  Zouareg  Nordine
Algeria  Moumen  Ali
Algeria  Ouasti  Zoubir
Algeria  Bilal  Cheb
Algeria  Serra  Jean
Algeria  Fabian  Françoise
Algeria  Benmehidi  Mourad
Algeria  Amsalem  Emil
Algeria  Si Salem  Yacine
Algeria  Mihoubi  Ahmed
Algeria  Blanchar  Pierre
Algeria  Bisciglia  Paul
Algeria  Gilles  Guy
Algeria  Simounet  Roland
Algeria  Charef  Mehdi
Algeria  Abderrahmane  Hadj
Algeria  Cabrera  Dominique
Algeria  Bachir  Yamina
Algeria  Bendahmane  Lounes
Algeria  Benatia  Abdelmadjid
Algeria  Kherkhache  Kamel
